Project,N° Iteration,Classifier,Feature Selection,Sampling,Cost Sensitive,Training %,Precision,Recall,AUC,Kappa,True Positive,False Positive,True Negative,False Negative
bookkeeper,1,RandomForest,No,No,No,44.44444444444444,0.48333333333333334,0.6444444444444445,0.7533333333333333,0.415819209039548,29.0,31.0,144.0,16.0
bookkeeper,1,NaiveBayes,No,No,No,44.44444444444444,0.2,0.9555555555555556,0.454984126984127,-0.011360634081902257,43.0,172.0,3.0,2.0
bookkeeper,1,IBk,No,No,No,44.44444444444444,0.32075471698113206,0.37777777777777777,0.594920634920635,0.16140559857057768,17.0,36.0,139.0,28.0
bookkeeper,1,RandomForest,Yes,No,No,44.44444444444444,0.36585365853658536,0.6666666666666666,0.714920634920635,0.28307392996108954,30.0,52.0,123.0,15.0
bookkeeper,1,NaiveBayes,Yes,No,No,44.44444444444444,0.18009478672985782,0.8444444444444444,0.4803809523809524,-0.06080900080364318,38.0,173.0,2.0,7.0
bookkeeper,1,IBk,Yes,No,No,44.44444444444444,0.275,0.4888888888888889,0.5958095238095238,0.12216748768472908,22.0,58.0,117.0,23.0
bookkeeper,1,RandomForest,Yes,SMOTE,No,52.17391304347826,0.31,0.6888888888888889,0.7373968253968254,0.2026200873362445,31.0,69.0,106.0,14.0
bookkeeper,1,NaiveBayes,Yes,SMOTE,No,52.17391304347826,0.19907407407407407,0.9555555555555556,0.5120634920634921,-0.013691416535018406,43.0,173.0,2.0,2.0
bookkeeper,1,IBk,Yes,SMOTE,No,52.17391304347826,0.19791666666666666,0.4222222222222222,0.5083809523809524,-0.01251117068811425,19.0,77.0,98.0,26.0
bookkeeper,1,RandomForest,Yes,UnderSampling,No,44.44444444444444,0.28205128205128205,0.7333333333333333,0.7094603174603175,0.15890083632019109,33.0,84.0,91.0,12.0
bookkeeper,1,NaiveBayes,Yes,UnderSampling,No,44.44444444444444,0.5333333333333333,0.5333333333333333,0.7457777777777778,0.4133333333333334,24.0,21.0,154.0,21.0
bookkeeper,1,IBk,Yes,UnderSampling,No,44.44444444444444,0.2727272727272727,0.7333333333333333,0.6156825396825397,0.14163090128755357,33.0,88.0,87.0,12.0
