Project,N° Iteration,Classifier,Feature Selection,Sampling,Cost Sensitive,Training %,Precision,Recall,AUC,Kappa,True Positive,False Positive,True Negative,False Negative
storm,1,RandomForest,No,No,No,93.34719334719335,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,1,NaiveBayes,No,No,No,93.34719334719335,0.0,0.0,NaN,0.0,0.0,2.0,30.0,0.0
storm,1,IBk,No,No,No,93.34719334719335,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,1,RandomForest,Yes,No,No,93.34719334719335,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,1,NaiveBayes,Yes,No,No,93.34719334719335,0.0,0.0,NaN,0.0,0.0,1.0,31.0,0.0
storm,1,IBk,Yes,No,No,93.34719334719335,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,1,RandomForest,Yes,SMOTE,No,93.4156378600823,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,1,NaiveBayes,Yes,SMOTE,No,93.4156378600823,0.0,0.0,NaN,0.0,0.0,11.0,21.0,0.0
storm,1,IBk,Yes,SMOTE,No,93.4156378600823,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,1,RandomForest,Yes,UnderSampling,No,93.34719334719335,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,1,NaiveBayes,Yes,UnderSampling,No,93.34719334719335,0.0,0.0,NaN,0.0,0.0,31.0,1.0,0.0
storm,1,IBk,Yes,UnderSampling,No,93.34719334719335,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,1,RandomForest,Yes,No,Yes,93.34719334719335,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,1,NaiveBayes,Yes,No,Yes,93.34719334719335,0.0,0.0,NaN,0.0,0.0,1.0,31.0,0.0
storm,1,IBk,Yes,No,Yes,93.34719334719335,0.0,0.0,NaN,1.0,0.0,0.0,32.0,0.0
storm,2,RandomForest,No,No,No,47.813121272365805,0.875,0.12280701754385964,0.7985642525116209,0.19383976153915566,7.0,1.0,467.0,50.0
storm,2,NaiveBayes,No,No,No,47.813121272365805,0.2440944881889764,0.543859649122807,0.6644549407707302,0.2200628333455104,31.0,96.0,372.0,26.0
storm,2,IBk,No,No,No,47.813121272365805,0.42105263157894735,0.14035087719298245,0.5584233018443545,0.1652090952456669,8.0,11.0,457.0,49.0
storm,2,RandomForest,Yes,No,No,47.813121272365805,0.5555555555555556,0.17543859649122806,0.809360473834158,0.22634836427939928,10.0,8.0,460.0,47.0
storm,2,NaiveBayes,Yes,No,No,47.813121272365805,0.25742574257425743,0.45614035087719296,0.7327935222672065,0.22098101797413075,26.0,75.0,393.0,31.0
storm,2,IBk,Yes,No,No,47.813121272365805,0.6764705882352942,0.40350877192982454,0.8822537112010796,0.46183284357274645,23.0,11.0,457.0,34.0
storm,2,RandomForest,Yes,SMOTE,No,48.07121661721068,0.7727272727272727,0.2982456140350877,0.7924164042585096,0.39371776118253876,17.0,5.0,463.0,40.0
storm,2,NaiveBayes,Yes,SMOTE,No,48.07121661721068,0.25773195876288657,0.43859649122807015,0.7124006597690808,0.21767537826685002,25.0,72.0,396.0,32.0
storm,2,IBk,Yes,SMOTE,No,48.07121661721068,0.3695652173913043,0.2982456140350877,0.6106612685560054,0.25815567979357346,17.0,29.0,439.0,40.0
storm,2,RandomForest,Yes,UnderSampling,No,47.813121272365805,0.28289473684210525,0.7543859649122807,0.7463637726795621,0.30111367252183496,43.0,109.0,359.0,14.0
storm,2,NaiveBayes,Yes,UnderSampling,No,47.813121272365805,0.10040983606557377,0.8596491228070176,0.7270767731294047,-0.01814371803048249,49.0,439.0,29.0,8.0
storm,2,IBk,Yes,UnderSampling,No,47.813121272365805,0.28289473684210525,0.7543859649122807,0.7607399910031489,0.30111367252183496,43.0,109.0,359.0,14.0
storm,2,RandomForest,Yes,No,Yes,47.813121272365805,0.45161290322580644,0.24561403508771928,0.7871869845554056,0.261707214175221,14.0,17.0,451.0,43.0
storm,2,NaiveBayes,Yes,No,Yes,47.813121272365805,0.2830188679245283,0.5263157894736842,0.7318938371569951,0.26419561578968864,30.0,76.0,392.0,27.0
storm,2,IBk,Yes,No,Yes,47.813121272365805,0.6764705882352942,0.40350877192982454,0.8822537112010796,0.46183284357274645,23.0,11.0,457.0,34.0
storm,3,RandomForest,No,No,No,60.602409638554214,0.1,0.15,0.8486198738170347,0.08647619047619058,3.0,27.0,607.0,17.0
storm,3,NaiveBayes,No,No,No,60.602409638554214,0.14285714285714285,0.7,0.7980283911671924,0.19647245126412957,14.0,84.0,550.0,6.0
storm,3,IBk,No,No,No,60.602409638554214,0.15517241379310345,0.45,0.6872239747634069,0.19411813028834266,9.0,49.0,585.0,11.0
storm,3,RandomForest,Yes,No,No,60.602409638554214,0.11538461538461539,0.3,0.8377365930599369,0.12815499466761435,6.0,46.0,588.0,14.0
storm,3,NaiveBayes,Yes,No,No,60.602409638554214,0.10294117647058823,0.35,0.8085567823343849,0.11737671432739978,7.0,61.0,573.0,13.0
